sample_id,title,artist,title_listeners,title_scrobbles,title_tags,target_genre_tags,genre_tags,title_duration,audio_path,yt_title,yt_url,yt_duration,yt_views,merged_album,album_id
dbfff3f7-3a49-5158-a73e-86b2e1d4b67a,Без бою,Океан Ельзи,67241.0,500416.0,"['alternative rock', 'pop rock', 'rock', 'ukrainian rock']","['alternative', 'pop', 'rock']","['alternative', 'pop', 'rock']",261.0,audio\Океан Ельзи - Без бою  Bez boyu (official video).mp3,Океан Ельзи - Без бою | Bez boyu (official video),https://youtube.com/watch?v=bbkEVJgrBUs,270,22665535,Gloria,20b87550-0875-5c4e-8b9c-cff76362ab24
c12dc8f8-80ec-5db6-8483-1983cb5d8837,Обійми,Океан Ельзи,40990.0,282632.0,"['alternative rock', 'blues', 'rock', 'ukrainian rock']","['alternative', 'blues', 'rock']","['alternative', 'blues', 'rock']",224.0,"audio\Океан Ельзи - Обійми  Obijmy (2013, official video).mp3","Океан Ельзи - Обійми | Obijmy (2013, official video)",https://youtube.com/watch?v=--Wokwe4-i0,240,67054729,Земля,29045218-656e-52b0-a28b-467fd8aa1c8c
2cba1504-06f9-502b-86c4-d75dc6c38914,Не питай,Океан Ельзи,39876.0,303396.0,"['rock', 'ukrainian rock']",['rock'],['rock'],159.0,audio\Не питай.mp3,Не питай,https://youtube.com/watch?v=xcEgCjWbb3A,157,2290843,Gloria,20b87550-0875-5c4e-8b9c-cff76362ab24
b00a08e7-48c0-554e-80ab-557eb382cb04,Коли тебе нема,Океан Ельзи,37672.0,239250.0,"['rock', 'ukrainian rock']",['rock'],['rock'],198.0,audio\Коли тебе нема.mp3,Коли тебе нема,https://youtube.com/watch?v=Vt4svhjvGXA,198,2781977,Янанебібув,c77e9e33-5eca-5c60-8b2b-a510f6227e95
1fec7ab5-0e14-56a4-973a-6d5d6d21e84a,911,Океан Ельзи,35998.0,235613.0,"['indie rock', 'rock', 'ukrainian rock']","['indie', 'rock']","['indie', 'rock']",209.0,audio\Океан Ельзи - 911 (official video).mp3,Океан Ельзи - 911 (official video),https://youtube.com/watch?v=lD6PAE_STj4,214,4353271,Модель,c2dc5765-52c3-5863-8c86-c6236bd397a0
cd5fcd01-2e47-5cfd-a239-102730a45370,Вище неба,Океан Ельзи,35768.0,240200.0,"['indie', 'pop rock', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']","['indie', 'pop', 'rock']",239.0,audio\Океан Ельзи - Вище неба  Vysche neba (official video).mp3,Океан Ельзи - Вище неба | Vysche neba (official video),https://youtube.com/watch?v=K6xw2fGdImA,242,3699100,Gloria,20b87550-0875-5c4e-8b9c-cff76362ab24
14fa3d86-ea66-57d8-a511-36ccfdf509db,Вставай,Океан Ельзи,35045.0,248590.0,"['rock', 'ukrainian rock']",['rock'],['rock'],176.0,audio\Вставай.mp3,Вставай,https://youtube.com/watch?v=KIJizLX8qXQ,174,1396290,Модель,c2dc5765-52c3-5863-8c86-c6236bd397a0
34354ed0-20fa-53f2-b7f7-42bfbc2c75df,Майже весна,Океан Ельзи,34826.0,240383.0,"['alternative', 'rock', 'ukrainian rock']","['alternative', 'rock']","['alternative', 'rock']",254.0,audio\Океан Ельзи -- Майже весна.mp3,Океан Ельзи -- Майже весна,https://youtube.com/watch?v=Hj_ORUxfe78,252,1551308,Суперсиметрія,eafe7774-8b0b-5b15-9d39-92f431e936cc
28f3327c-16e0-5564-8519-aa47f423ffa7,Той день,Океан Ельзи,33702.0,221011.0,"['rock', 'ukrainian rock']",['rock'],['rock'],240.0,"audio\Океан Ельзи - Той день (ОЕ30 edition) feat YAKTAK, KOLA, SHUMEI, Jerry Heil.mp3","Океан Ельзи - Той день (ОЕ30 edition) feat YAKTAK, KOLA, SHUMEI, Jerry Heil",https://youtube.com/watch?v=uw5tIJuFeHY,242,3641293,Янанебібув,c77e9e33-5eca-5c60-8b2b-a510f6227e95
1c77e8b4-0950-592f-a407-3794bc00cc31,Холодно,Океан Ельзи,32587.0,221534.0,"['rock', 'ukrainian rock']",['rock'],['rock'],274.0,audio\Океан Ельзи - Холодно  Kholodno (official video).mp3,Океан Ельзи - Холодно | Kholodno (official video),https://youtube.com/watch?v=9JYpAAWKyA4,267,5781381,Суперсиметрія,eafe7774-8b0b-5b15-9d39-92f431e936cc
6b0303ac-0f66-5be4-85bd-e1e8c87dd4f2,Все буде добре,Океан Ельзи,32302.0,202088.0,"['rock', 'ukrainian rock']",['rock'],['rock'],192.0,audio\Океан Ельзи - Все буде добре  Vse Bude Dobre (official video).mp3,Океан Ельзи - Все буде добре | Vse Bude Dobre (official video),https://youtube.com/watch?v=dL-9QgWyefw,211,3690068,Міра,53f0f00a-ef06-5c1a-984f-6343a7fb4ea2
