sample_id,title,artist,title_listeners,title_scrobbles,title_tags,target_genre_tags,title_duration,merged_album
dbfff3f7-3a49-5158-a73e-86b2e1d4b67a,Без бою,Океан Ельзи,67241.0,500416.0,"['alternative rock', 'pop rock', 'rock', 'ukrainian rock']","['alternative', 'pop', 'rock']",261.0,Gloria
c12dc8f8-80ec-5db6-8483-1983cb5d8837,Обійми,Океан Ельзи,40990.0,282632.0,"['alternative rock', 'blues', 'rock', 'ukrainian rock']","['alternative', 'blues', 'rock']",224.0,Земля
2cba1504-06f9-502b-86c4-d75dc6c38914,Не питай,Океан Ельзи,39876.0,303396.0,"['rock', 'ukrainian rock']",['rock'],159.0,Gloria
b00a08e7-48c0-554e-80ab-557eb382cb04,Коли тебе нема,Океан Ельзи,37672.0,239250.0,"['rock', 'ukrainian rock']",['rock'],198.0,Янанебібув
1fec7ab5-0e14-56a4-973a-6d5d6d21e84a,911,Океан Ельзи,35998.0,235613.0,"['indie rock', 'rock', 'ukrainian rock']","['indie', 'rock']",209.0,Модель
cd5fcd01-2e47-5cfd-a239-102730a45370,Вище неба,Океан Ельзи,35768.0,240200.0,"['indie', 'pop rock', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']",239.0,Gloria
14fa3d86-ea66-57d8-a511-36ccfdf509db,Вставай,Океан Ельзи,35045.0,248590.0,"['rock', 'ukrainian rock']",['rock'],176.0,Модель
34354ed0-20fa-53f2-b7f7-42bfbc2c75df,Майже весна,Океан Ельзи,34826.0,240383.0,"['alternative', 'rock', 'ukrainian rock']","['alternative', 'rock']",254.0,Суперсиметрія
28f3327c-16e0-5564-8519-aa47f423ffa7,Той день,Океан Ельзи,33702.0,221011.0,"['rock', 'ukrainian rock']",['rock'],240.0,Янанебібув
1c77e8b4-0950-592f-a407-3794bc00cc31,Холодно,Океан Ельзи,32587.0,221534.0,"['rock', 'ukrainian rock']",['rock'],274.0,Суперсиметрія
6b0303ac-0f66-5be4-85bd-e1e8c87dd4f2,Все буде добре,Океан Ельзи,32302.0,202088.0,"['rock', 'ukrainian rock']",['rock'],192.0,Міра
7ed28fea-f725-5935-94dc-6b1de0fa0b25,Відпусти,Океан Ельзи,30909.0,177284.0,"['rock', 'ukrainian - rock', 'ukrainian rock']",['rock'],228.0,Янанебібув
25d11df8-9b94-594e-bcdc-25562f24b5f3,На небі,Океан Ельзи,28900.0,209586.0,"['pop rock', 'rock', 'ukrainian rock']","['pop', 'rock']",224.0,Земля
3cd6cc7f-1e5d-508e-9265-dfd9d93b7234,Кавачай,Океан Ельзи,28270.0,181582.0,"['rock', 'ukrainian rock']",['rock'],279.0,Янанебібув
5c5c1adc-03a9-5964-8db5-7b392c93ee26,Стріляй,Океан Ельзи,25570.0,184178.0,"['rock', 'ukrainian rock']",['rock'],291.0,Земля
a81b556e-bed2-521c-8020-15c219d37d3b,Сосни,Океан Ельзи,25453.0,169903.0,"['indie', 'pop rock', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']",268.0,Янанебібув
cd3efdcb-3a5c-597a-8adc-499514d34221,"Там, де нас нема",Океан Ельзи,24981.0,143055.0,"['rock', 'ukrainian rock']",['rock'],207.0,"Там, де нас нема"
ebf023e4-a1b1-5e60-b9c1-87ee53e7d8df,Коко шанель,Океан Ельзи,22342.0,154417.0,"['rock', 'ukrainian rock']",['rock'],235.0,Модель
a737ef4c-cd87-5e2f-a0d3-e2fd2c2d5a2c,Для тебе,Океан Ельзи,21588.0,146835.0,"['rock', 'ukrainian - rock', 'ukrainian rock']",['rock'],231.0,Суперсиметрія
fed93f32-8842-5702-8f45-60a4adc56619,Більше для нас,Океан Ельзи,21306.0,116941.0,"['rock', 'ucrainian pop-rock', 'ukrainian rock']","['pop', 'rock']",210.0,Dolce vita
ca514c42-7b38-547a-9879-342c97d1bedd,На лінії вогню,Океан Ельзи,20289.0,124739.0,"['rock', 'ukrainian rock']",['rock'],181.0,Dolce vita
4594c630-5b6a-5ada-ad66-21b596e6db68,Я до тебе,Океан Ельзи,19456.0,109669.0,"['rock', 'ukrainian rock']",['rock'],291.0,Модель
da6ea236-a9db-5284-983f-359468f46902,Rendez-Vous,Океан Ельзи,18890.0,111134.0,"['rock', 'ukrainian rock']",['rock'],255.0,Земля
68a9c17e-ae47-5c91-ba83-f9ed163c6aa0,Квiтка,Океан Ельзи,18497.0,123175.0,"['rock', 'ukrainian rock']",['rock'],257.0,Океан Ельзи_Album_1
fc288ffa-1026-5a21-b2fd-902da5393f61,Susy,Океан Ельзи,18397.0,112678.0,"['indie', 'rock', 'ukrainian rock']","['indie', 'rock']",240.0,Суперсиметрія
9fc54c0f-bd6b-51fe-bf2c-692cdf55a6be,Мене,Океан Ельзи,17143.0,119615.0,"['rock', 'ukrainian rock']",['rock'],204.0,Суперсиметрія
7a5924e6-7d8a-5c89-aa03-a96623d6643b,Відчуваю,Океан Ельзи,16793.0,96169.0,"['rock', 'ukrainian rock']",['rock'],255.0,Gloria
821a361a-b639-5474-80a4-00c7078bc8ef,Поясни,Океан Ельзи,16301.0,104384.0,"['rock', 'ukrainian rock']",['rock'],219.0,Янанебібув
58b449e7-0af2-5d50-92db-1f8ba3a13443,Незалежність,Океан Ельзи,16153.0,99957.0,"['indie', 'pop-rock', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']",196.0,Земля
a50ebdb0-f84f-5360-a7fb-545a101f02d8,Стіна,Океан Ельзи,15715.0,98085.0,"['rock', 'ukrainian rock']",['rock'],208.0,Земля
29cf03aa-95f5-5132-8890-b05990edd584,"Така, як ти",Океан Ельзи,15458.0,89170.0,"['indie', 'pop-rock', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']",228.0,Океан Ельзи_Album_1
fad22ae9-69b5-5c4c-ac53-2cf266c4a359,З нею,Океан Ельзи,15092.0,80726.0,"['rock', 'ukrainian rock']",['rock'],299.0,Земля
e14f3764-4a05-5f13-ade9-768b6a6391ce,Пташка,Океан Ельзи,14672.0,72028.0,"['alternative', 'alternative rock', 'indie', 'rock', 'ukrainian rock']","['alternative', 'indie', 'rock']",163.0,Міра
ee37071f-3816-5c21-91da-1e855d08b648,Зелені очі,Океан Ельзи,14572.0,79136.0,"['rock', 'ukrainian rock']",['rock'],248.0,Міра
624db3a3-338d-52a8-8cdb-cdf8c010e65c,Етюд,Океан Ельзи,14416.0,84909.0,"['rock', 'ukrainian rock']",['rock'],141.0,Янанебібув
2062b366-53f8-5cbf-ada5-616aeb488819,Не можу без тебе,Океан Ельзи,14211.0,82304.0,"['rock', 'ukrainian rock']",['rock'],155.0,Міра
300ce771-e278-5902-8c04-0813ca2254ad,Йду на дно,Океан Ельзи,14166.0,69424.0,"['rock', 'ukrainian rock']",['rock'],214.0,"Там, де нас нема"
563b8306-3d15-58ae-aeac-d57ae6fe1a61,З тобою,Океан Ельзи,13671.0,67100.0,"['rock', 'ukrainian rock']",['rock'],185.0,Dolce vita
3e8c7d61-144f-597d-b5a4-461e15f6c2fb,Ти і я,Океан Ельзи,13492.0,65650.0,"['art rock', 'rock', 'ukrainian rock']",['rock'],208.0,Gloria
91d8509b-fbc8-5a55-bc28-ce32a9c8a714,Ніколи,Океан Ельзи,13402.0,65284.0,"['rock', 'ukrainian rock']",['rock'],201.0,Океан Ельзи_Album_1
2e511f7b-5805-59f7-a9c7-0e67a3b116e1,Не твоя війна,Океан Ельзи,13387.0,77437.0,"['pop-rock', 'rock', 'ukrainian rock']","['pop', 'rock']",,Океан Ельзи_Album_1
6867e710-6152-5588-b997-b86dd665e661,Онлайн,Океан Ельзи,13352.0,70213.0,"['britpop', 'indie', 'rock', 'ukrainian rock']","['indie', 'pop', 'rock']",233.0,Dolce vita
c5ea898d-76bd-568c-ac1e-a00354aa4eeb,SHUM,Go_A,163046.0,2108741.0,"['folk', 'folktronica']","['folk', 'folktronica']",171.0,Go_A_Album_1
ff2994eb-e502-509c-aa5d-39c1e839e957,Solovey,Go_A,39876.0,390694.0,"['folk', 'folktronica']","['folk', 'folktronica']",176.0,Go_A_Album_1
de062451-1328-5603-a64c-dbf89423e6cb,Шум,Go_A,39101.0,351027.0,"['ebm', 'electronic', 'folk', 'folktronica']","['edm', 'electro', 'folk', 'folktronica']",182.0,Go_A_Album_2
cc8da11e-18c3-5629-9a07-370bb0ef2660,Веснянка,Go_A,21000.0,134549.0,"['ethnic', 'folk', 'folktronica']","['ethno', 'folk', 'folktronica']",236.0,#Ідиназвук
1b494c6e-e848-515e-a7e2-eb639321b525,Kalyna,Go_A,19484.0,199505.0,"['electronic', 'folk', 'folktronica']","['electro', 'folk', 'folktronica']",186.0,Go_A_Album_2
1c45a8a4-16ac-5367-9b91-a1658e1e499d,Жальменiна,Go_A,19191.0,151038.0,"['electronic', 'folk', 'folktronica']","['electro', 'folk', 'folktronica']",,#Ідиназвук
97bc5247-ac86-5a8d-8746-afbfa5c4b26a,Рано-раненько,Go_A,16929.0,117472.0,"['electronic', 'folk', 'folktronica']","['electro', 'folk', 'folktronica']",229.0,Рано-раненько
98d7dc75-8a32-5930-89b5-0c3bfaa543e1,Rusalochki,Go_A,9556.0,84925.0,"['folk', 'folktronica']","['folk', 'folktronica']",198.0,Go_A_Album_2
1b777628-7088-5ca6-855f-2e8c62d61612,Вогнi,Go_A,7506.0,36762.0,"['electronic', 'folk', 'folktronica']","['electro', 'folk', 'folktronica']",,#Ідиназвук
